in s,C2 in V
-1.0133760E-03,-1.89961E-02
-1.0133604E-03,-1.60664E-02
-1.0133448E-03,-1.60664E-02
-1.0133292E-03,-1.70430E-02
-1.0133136E-03,-1.89961E-02
-1.0132980E-03,-1.60664E-02
-1.0132824E-03,-1.60664E-02
-1.0132668E-03,-1.80195E-02
-1.0132512E-03,-1.80195E-02
-1.0132356E-03,-1.89961E-02
-1.0132200E-03,-1.89961E-02
-1.0132044E-03,-1.99727E-02
-1.0131888E-03,-2.09492E-02
-1.0131732E-03,-1.70430E-02
-1.0131576E-03,-1.50898E-02
-1.0131420E-03,-1.80195E-02
-1.0131264E-03,-1.70430E-02
-1.0131108E-03,-1.80195E-02
-1.0130952E-03,-1.99727E-02
-1.0130796E-03,-1.89961E-02
-1.0130640E-03,-1.70430E-02
-1.0130484E-03,-1.89961E-02
-1.0130328E-03,-1.70430E-02
-1.0130172E-03,-1.80195E-02
-1.0130016E-03,-1.60664E-02
-1.0129860E-03,-1.50898E-02
-1.0129704E-03,-1.60664E-02
-1.0129548E-03,-1.60664E-02
-1.0129392E-03,-1.70430E-02
-1.0129236E-03,-2.19258E-02
-1.0129080E-03,-1.41133E-02
-1.0128924E-03,-1.41133E-02
-1.0128768E-03,-1.89961E-02
-1.0128612E-03,-2.09492E-02
-1.0128456E-03,-1.80195E-02
-1.0128300E-03,-1.60664E-02
-1.0128144E-03,-1.60664E-02
-1.0127988E-03,-1.50898E-02
-1.0127832E-03,-1.80195E-02
-1.0127676E-03,-1.80195E-02
-1.0127520E-03,-1.50898E-02
-1.0127364E-03,-1.41133E-02
-1.0127208E-03,-1.70430E-02
-1.0127052E-03,-1.80195E-02
-1.0126896E-03,-1.70430E-02
-1.0126740E-03,-1.80195E-02
-1.0126584E-03,-1.89961E-02
-1.0126428E-03,-1.31367E-02
-1.0126272E-03,-1.89961E-02
-1.0126116E-03,-1.89961E-02
-1.0125960E-03,-1.80195E-02
-1.0125804E-03,-1.70430E-02
-1.0125648E-03,-1.70430E-02
-1.0125492E-03,-1.70430E-02
-1.0125336E-03,-1.89961E-02
-1.0125180E-03,-1.80195E-02
-1.0125024E-03,-1.60664E-02
-1.0124868E-03,-1.50898E-02
-1.0124712E-03,-1.41133E-02
-1.0124556E-03,-1.50898E-02
-1.0124400E-03,-1.60664E-02
-1.0124244E-03,-2.09492E-02
-1.0124088E-03,-1.50898E-02
-1.0123932E-03,-1.41133E-02
-1.0123776E-03,-1.99727E-02
-1.0123620E-03,-1.80195E-02
-1.0123464E-03,-1.31367E-02
-1.0123308E-03,-1.80195E-02
-1.0123152E-03,-1.89961E-02
-1.0122996E-03,-1.80195E-02
-1.0122840E-03,-1.50898E-02
-1.0122684E-03,-1.99727E-02
-1.0122528E-03,-1.50898E-02
-1.0122372E-03,-1.60664E-02
-1.0122216E-03,-1.89961E-02
-1.0122060E-03,-1.60664E-02
-1.0121904E-03,-1.80195E-02
-1.0121748E-03,-1.89961E-02
-1.0121592E-03,-1.60664E-02
-1.0121436E-03,-1.50898E-02
-1.0121280E-03,-1.89961E-02
-1.0121124E-03,-1.50898E-02
-1.0120968E-03,-2.09492E-02
-1.0120812E-03,-1.41133E-02
-1.0120656E-03,-1.99727E-02
-1.0120500E-03,-1.70430E-02
-1.0120344E-03,-1.99727E-02
-1.0120188E-03,-1.80195E-02
-1.0120032E-03,-1.50898E-02
-1.0119876E-03,-1.80195E-02
-1.0119720E-03,-1.50898E-02
-1.0119564E-03,-1.60664E-02
-1.0119408E-03,-1.70430E-02
-1.0119252E-03,-1.60664E-02
-1.0119096E-03,-1.60664E-02
-1.0118940E-03,-1.41133E-02
-1.0118784E-03,-1.50898E-02
-1.0118628E-03,-1.80195E-02
-1.0118472E-03,-1.60664E-02
-1.0118316E-03,-1.60664E-02
-1.0118160E-03,-1.31367E-02
-1.0118004E-03,-1.70430E-02
-1.0117848E-03,-1.50898E-02
-1.0117692E-03,-1.80195E-02
-1.0117536E-03,-1.50898E-02
-1.0117380E-03,-1.70430E-02
-1.0117224E-03,-1.41133E-02
-1.0117068E-03,-1.31367E-02
-1.0116912E-03,-1.60664E-02
-1.0116756E-03,-1.41133E-02
-1.0116600E-03,-1.60664E-02
-1.0116444E-03,-1.41133E-02
-1.0116288E-03,-1.41133E-02
-1.0116132E-03,-1.60664E-02
-1.0115976E-03,-1.50898E-02
-1.0115820E-03,-1.50898E-02
-1.0115664E-03,-1.70430E-02
-1.0115508E-03,-1.50898E-02
-1.0115352E-03,-1.70430E-02
-1.0115196E-03,-1.80195E-02
-1.0115040E-03,-1.50898E-02
-1.0114884E-03,-1.50898E-02
-1.0114728E-03,-1.80195E-02
-1.0114572E-03,-1.31367E-02
-1.0114416E-03,-1.80195E-02
-1.0114260E-03,-1.70430E-02
-1.0114104E-03,-1.21602E-02
-1.0113948E-03,-1.41133E-02
-1.0113792E-03,-1.70430E-02
-1.0113636E-03,-1.50898E-02
-1.0113480E-03,-1.41133E-02
-1.0113324E-03,-1.50898E-02
-1.0113168E-03,-1.50898E-02
-1.0113012E-03,-1.31367E-02
-1.0112856E-03,-1.41133E-02
-1.0112700E-03,-1.60664E-02
-1.0112544E-03,-1.41133E-02
-1.0112388E-03,-1.60664E-02
-1.0112232E-03,-1.21602E-02
-1.0112076E-03,-1.60664E-02
-1.0111920E-03,-1.50898E-02
-1.0111764E-03,-1.50898E-02
-1.0111608E-03,-1.41133E-02
-1.0111452E-03,-1.31367E-02
-1.0111296E-03,-1.50898E-02
-1.0111140E-03,-1.41133E-02
-1.0110984E-03,-1.11836E-02
-1.0110828E-03,-1.60664E-02
-1.0110672E-03,-1.21602E-02
-1.0110516E-03,-1.70430E-02
-1.0110360E-03,-1.21602E-02
-1.0110204E-03,-1.70430E-02
-1.0110048E-03,-1.21602E-02
-1.0109892E-03,-1.31367E-02
-1.0109736E-03,-1.50898E-02
-1.0109580E-03,-1.31367E-02
-1.0109424E-03,-1.50898E-02
-1.0109268E-03,-1.31367E-02
-1.0109112E-03,-1.21602E-02
-1.0108956E-03,-1.21602E-02
-1.0108800E-03,-1.31367E-02
-1.0108644E-03,-1.41133E-02
-1.0108488E-03,-1.41133E-02
-1.0108332E-03,-1.21602E-02
-1.0108176E-03,-1.31367E-02
-1.0108020E-03,-1.60664E-02
-1.0107864E-03,-1.21602E-02
-1.0107708E-03,-1.41133E-02
-1.0107552E-03,-1.50898E-02
-1.0107396E-03,-1.41133E-02
-1.0107240E-03,-1.31367E-02
-1.0107084E-03,-1.60664E-02
-1.0106928E-03,-1.41133E-02
-1.0106772E-03,-1.70430E-02
-1.0106616E-03,-1.41133E-02
-1.0106460E-03,-1.21602E-02
-1.0106304E-03,-1.60664E-02
-1.0106148E-03,-1.50898E-02
-1.0105992E-03,-1.31367E-02
-1.0105836E-03,-1.21602E-02
-1.0105680E-03,-1.50898E-02
-1.0105524E-03,-1.41133E-02
-1.0105368E-03,-1.31367E-02
-1.0105212E-03,-1.41133E-02
-1.0105056E-03,-1.41133E-02
-1.0104900E-03,-1.50898E-02
-1.0104744E-03,-1.21602E-02
-1.0104588E-03,-1.02070E-02
-1.0104432E-03,-1.50898E-02
-1.0104276E-03,-1.02070E-02
-1.0104120E-03,-1.31367E-02
-1.0103964E-03,-1.21602E-02
-1.0103808E-03,-1.21602E-02
-1.0103652E-03,-1.50898E-02
-1.0103496E-03,-1.31367E-02
-1.0103340E-03,-1.41133E-02
-1.0103184E-03,-1.70430E-02
-1.0103028E-03,-1.60664E-02
-1.0102872E-03,-1.41133E-02
-1.0102716E-03,-1.41133E-02
-1.0102560E-03,-1.31367E-02
-1.0102404E-03,-1.11836E-02
-1.0102248E-03,-1.21602E-02
-1.0102092E-03,-1.60664E-02
-1.0101936E-03,-1.21602E-02
-1.0101780E-03,-1.31367E-02
-1.0101624E-03,-1.60664E-02
-1.0101468E-03,-1.02070E-02
-1.0101312E-03,-1.21602E-02
-1.0101156E-03,-1.11836E-02
-1.0101000E-03,-1.31367E-02
-1.0100844E-03,-1.31367E-02
-1.0100688E-03,-1.31367E-02
-1.0100532E-03,-1.31367E-02
-1.0100376E-03,-1.21602E-02
-1.0100220E-03,-1.50898E-02
-1.0100064E-03,-1.50898E-02
-1.0099908E-03,-1.31367E-02
-1.0099752E-03,-1.11836E-02
-1.0099596E-03,-1.31367E-02
-1.0099440E-03,-1.41133E-02
-1.0099284E-03,-1.60664E-02
-1.0099128E-03,-1.50898E-02
-1.0098972E-03,-9.23047E-03
-1.0098816E-03,-1.11836E-02
-1.0098660E-03,-1.11836E-02
-1.0098504E-03,-1.21602E-02
-1.0098348E-03,-1.41133E-02
-1.0098192E-03,-1.41133E-02
-1.0098036E-03,-1.41133E-02
-1.0097880E-03,-1.11836E-02
-1.0097724E-03,-1.41133E-02
-1.0097568E-03,-1.41133E-02
-1.0097412E-03,-1.02070E-02
-1.0097256E-03,-9.23047E-03
-1.0097100E-03,-1.21602E-02
-1.0096944E-03,-1.21602E-02
-1.0096788E-03,-1.21602E-02
-1.0096632E-03,-1.21602E-02
-1.0096476E-03,-1.21602E-02
-1.0096320E-03,-1.21602E-02
-1.0096164E-03,-1.02070E-02
-1.0096008E-03,-1.02070E-02
-1.0095852E-03,-1.21602E-02
-1.0095696E-03,-1.11836E-02
-1.0095540E-03,-1.31367E-02
-1.0095384E-03,-1.21602E-02
-1.0095228E-03,-1.41133E-02
-1.0095072E-03,-1.41133E-02
-1.0094916E-03,-1.41133E-02
-1.0094760E-03,-1.02070E-02
-1.0094604E-03,-1.50898E-02
-1.0094448E-03,-1.31367E-02
-1.0094292E-03,-1.41133E-02
-1.0094136E-03,-1.31367E-02
-1.0093980E-03,-1.21602E-02
-1.0093824E-03,-1.11836E-02
-1.0093668E-03,-1.60664E-02
-1.0093512E-03,-1.21602E-02
-1.0093356E-03,-9.23047E-03
-1.0093200E-03,-1.41133E-02
-1.0093044E-03,-1.21602E-02
-1.0092888E-03,-9.23047E-03
-1.0092732E-03,-1.31367E-02
-1.0092576E-03,-1.21602E-02
-1.0092420E-03,-1.21602E-02
-1.0092264E-03,-1.21602E-02
-1.0092108E-03,-1.11836E-02
-1.0091952E-03,-1.02070E-02
-1.0091796E-03,-1.41133E-02
-1.0091640E-03,-1.21602E-02
-1.0091484E-03,-9.23047E-03
-1.0091328E-03,-1.50898E-02
-1.0091172E-03,-1.02070E-02
-1.0091016E-03,-1.60664E-02
-1.0090860E-03,-1.21602E-02
-1.0090704E-03,-1.21602E-02
-1.0090548E-03,-1.41133E-02
-1.0090392E-03,-1.50898E-02
-1.0090236E-03,-9.23047E-03
-1.0090080E-03,-1.41133E-02
-1.0089924E-03,-9.23047E-03
-1.0089768E-03,-1.21602E-02
-1.0089612E-03,-9.23047E-03
-1.0089456E-03,-1.21602E-02
-1.0089300E-03,-1.21602E-02
-1.0089144E-03,-9.23047E-03
-1.0088988E-03,-1.02070E-02
-1.0088832E-03,-1.50898E-02
-1.0088676E-03,-1.21602E-02
-1.0088520E-03,-9.23047E-03
-1.0088364E-03,-1.31367E-02
-1.0088208E-03,-1.11836E-02
-1.0088052E-03,-1.02070E-02
-1.0087896E-03,-1.31367E-02
-1.0087740E-03,-1.11836E-02
-1.0087584E-03,-1.02070E-02
-1.0087428E-03,-1.31367E-02
-1.0087272E-03,-1.21602E-02
-1.0087116E-03,-1.02070E-02
-1.0086960E-03,-9.23047E-03
-1.0086804E-03,-9.23047E-03
-1.0086648E-03,-1.31367E-02
-1.0086492E-03,-1.02070E-02
-1.0086336E-03,-1.02070E-02
-1.0086180E-03,-1.11836E-02
-1.0086024E-03,-1.11836E-02
-1.0085868E-03,-1.11836E-02
-1.0085712E-03,-1.21602E-02
-1.0085556E-03,-1.31367E-02
-1.0085400E-03,-1.02070E-02
